UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 20:47 ?        00:00:00 /sbin/init splash
root           2       0  0 20:47 ?        00:00:00 [kthreadd]
root           3       2  0 20:47 ?        00:00:00 [rcu_gp]
root           4       2  0 20:47 ?        00:00:00 [rcu_par_gp]
root           5       2  0 20:47 ?        00:00:00 [kworker/0:0-events]
root           6       2  0 20:47 ?        00:00:00 [kworker/0:0H-events_highpri]
root           9       2  0 20:47 ?        00:00:00 [mm_percpu_wq]
root          10       2  0 20:47 ?        00:00:00 [rcu_tasks_rude_]
root          11       2  0 20:47 ?        00:00:00 [rcu_tasks_trace]
root          12       2  0 20:47 ?        00:00:00 [ksoftirqd/0]
root          13       2  0 20:47 ?        00:00:00 [rcu_sched]
root          14       2  0 20:47 ?        00:00:00 [migration/0]
root          15       2  0 20:47 ?        00:00:00 [idle_inject/0]
root          16       2  0 20:47 ?        00:00:00 [cpuhp/0]
root          17       2  0 20:47 ?        00:00:00 [kdevtmpfs]
root          18       2  0 20:47 ?        00:00:00 [netns]
root          19       2  0 20:47 ?        00:00:00 [inet_frag_wq]
root          20       2  0 20:47 ?        00:00:00 [kauditd]
root          21       2  0 20:47 ?        00:00:00 [khungtaskd]
root          22       2  0 20:47 ?        00:00:00 [oom_reaper]
root          23       2  0 20:47 ?        00:00:00 [writeback]
root          24       2  0 20:47 ?        00:00:00 [kcompactd0]
root          25       2  0 20:47 ?        00:00:00 [ksmd]
root          26       2  0 20:47 ?        00:00:00 [khugepaged]
root          72       2  0 20:47 ?        00:00:00 [kintegrityd]
root          73       2  0 20:47 ?        00:00:00 [kblockd]
root          74       2  0 20:47 ?        00:00:00 [blkcg_punt_bio]
root          75       2  0 20:47 ?        00:00:00 [tpm_dev_wq]
root          76       2  0 20:47 ?        00:00:00 [ata_sff]
root          77       2  0 20:47 ?        00:00:00 [md]
root          78       2  0 20:47 ?        00:00:00 [edac-poller]
root          79       2  0 20:47 ?        00:00:00 [devfreq_wq]
root          80       2  0 20:47 ?        00:00:00 [watchdogd]
root          81       2  0 20:47 ?        00:00:00 [kworker/u2:1-ext4-rsv-conversion]
root          82       2  0 20:47 ?        00:00:00 [kworker/0:1H-kblockd]
root          84       2  0 20:47 ?        00:00:00 [kswapd0]
root          85       2  0 20:47 ?        00:00:00 [ecryptfs-kthrea]
root          87       2  0 20:47 ?        00:00:00 [kthrotld]
root          88       2  0 20:47 ?        00:00:00 [acpi_thermal_pm]
root          89       2  0 20:47 ?        00:00:00 [kworker/u2:2-events_unbound]
root          90       2  0 20:47 ?        00:00:00 [scsi_eh_0]
root          91       2  0 20:47 ?        00:00:00 [scsi_tmf_0]
root          92       2  0 20:47 ?        00:00:00 [scsi_eh_1]
root          93       2  0 20:47 ?        00:00:00 [scsi_tmf_1]
root          94       2  0 20:47 ?        00:00:00 [vfio-irqfd-clea]
root          95       2  0 20:47 ?        00:00:00 [ipv6_addrconf]
root         105       2  0 20:47 ?        00:00:00 [kstrp]
root         108       2  0 20:47 ?        00:00:00 [zswap-shrink]
root         109       2  0 20:47 ?        00:00:00 [kworker/u3:0]
root         114       2  0 20:47 ?        00:00:00 [charger_manager]
root         157       2  0 20:47 ?        00:00:00 [scsi_eh_2]
root         158       2  0 20:47 ?        00:00:00 [scsi_tmf_2]
root         181       2  0 20:47 ?        00:00:00 [jbd2/sda5-8]
root         182       2  0 20:47 ?        00:00:00 [ext4-rsv-conver]
root         221       1  0 20:47 ?        00:00:00 /lib/systemd/systemd-journald
root         238       2  0 20:47 ?        00:00:00 [kworker/0:4-cgroup_destroy]
root         243       1  0 20:47 ?        00:00:00 /lib/systemd/systemd-udevd
root         244       2  0 20:47 ?        00:00:00 [irq/18-vmwgfx]
root         245       2  0 20:47 ?        00:00:00 [ttm_swap]
root         246       2  0 20:47 ?        00:00:00 [card0-crtc0]
root         247       2  0 20:47 ?        00:00:00 [card0-crtc1]
root         248       2  0 20:47 ?        00:00:00 [card0-crtc2]
